ticker,date,close
AEP,1962-01-02,34.31
HON,1962-01-02,8.31
AEP,1962-01-03,34.25
HON,1962-01-03,8.4
AEP,1962-01-04,33.75
HON,1962-01-04,8.46
AEP,1962-01-05,33.0
HON,1962-01-05,8.44
AEP,1962-01-08,32.75
HON,1962-01-08,8.48
AEP,1962-01-09,32.5
HON,1962-01-09,8.46
AEP,1962-01-10,33.0
HON,1962-01-10,8.29
AEP,1962-01-11,32.94
HON,1962-01-11,8.29
AEP,1962-01-12,33.44
HON,1962-01-12,8.22
AEP,1962-01-15,33.0
HON,1962-01-15,8.07
AEP,1962-01-16,32.88
HON,1962-01-16,7.95
AEP,1962-01-17,32.94
HON,1962-01-17,7.97
AEP,1962-01-18,33.12
HON,1962-01-18,7.97
AEP,1962-01-19,33.12
HON,1962-01-19,7.97
AEP,1962-01-22,32.88
HON,1962-01-22,7.88
AEP,1962-01-23,32.88
HON,1962-01-23,7.88
AEP,1962-01-24,32.94
HON,1962-01-24,7.8
AEP,1962-01-25,32.88
HON,1962-01-25,7.79
AEP,1962-01-26,32.44
HON,1962-01-26,7.71
AEP,1962-01-29,32.31
HON,1962-01-29,7.73
AEP,1962-01-30,32.44
HON,1962-01-30,7.84
AEP,1962-01-31,32.5
HON,1962-01-31,7.95
AEP,1962-02-01,32.62
HON,1962-02-01,7.95
AEP,1962-02-02,32.5
HON,1962-02-02,7.97
AEP,1962-02-05,32.56
HON,1962-02-05,8.05
AEP,1962-02-06,32.88
HON,1962-02-06,8.03
AEP,1962-02-07,33.62
HON,1962-02-07,8.12
AEP,1962-02-08,34.38
HON,1962-02-08,8.12
AEP,1962-02-09,34.5
HON,1962-02-09,8.1
AEP,1962-02-12,34.38
HON,1962-02-12,8.1
AEP,1962-02-13,34.38
HON,1962-02-13,8.05
AEP,1962-02-14,34.5
HON,1962-02-14,7.88
AEP,1962-02-15,35.25
HON,1962-02-15,7.9
AEP,1962-02-16,34.94
HON,1962-02-16,7.84
AEP,1962-02-19,34.69
HON,1962-02-19,7.88
AEP,1962-02-20,34.94
HON,1962-02-20,7.84
AEP,1962-02-21,34.75
HON,1962-02-21,7.69
AEP,1962-02-23,34.81
HON,1962-02-23,7.56
AEP,1962-02-26,34.69
HON,1962-02-26,7.43
AEP,1962-02-27,34.62
HON,1962-02-27,7.56
AEP,1962-02-28,34.25
HON,1962-02-28,7.73
AEP,1962-03-01,34.5
HON,1962-03-01,7.71
AEP,1962-03-02,34.88
HON,1962-03-02,7.67
AEP,1962-03-05,34.5
HON,1962-03-05,7.6
AEP,1962-03-06,34.31
HON,1962-03-06,7.49
AEP,1962-03-07,34.44
HON,1962-03-07,7.37
AEP,1962-03-08,35.56
HON,1962-03-08,7.51
AEP,1962-03-09,35.75
HON,1962-03-09,7.54
AEP,1962-03-12,35.5
HON,1962-03-12,7.41
AEP,1962-03-13,35.69
HON,1962-03-13,7.51
AEP,1962-03-14,35.81
HON,1962-03-14,7.52
AEP,1962-03-15,35.56
HON,1962-03-15,7.47
AEP,1962-03-16,35.69
HON,1962-03-16,7.47
AEP,1962-03-19,36.0
HON,1962-03-19,7.47
AEP,1962-03-20,36.0
HON,1962-03-20,7.47
AEP,1962-03-21,36.0
HON,1962-03-21,7.37
AEP,1962-03-22,36.0
HON,1962-03-22,7.3
AEP,1962-03-23,36.0
HON,1962-03-23,7.24
AEP,1962-03-26,35.56
HON,1962-03-26,7.19
AEP,1962-03-27,35.25
HON,1962-03-27,7.09
AEP,1962-03-28,35.31
HON,1962-03-28,7.09
AEP,1962-03-29,35.25
HON,1962-03-29,7.02
AEP,1962-03-30,35.69
HON,1962-03-30,7.0
AEP,1962-04-02,35.69
HON,1962-04-02,6.89
AEP,1962-04-03,35.5
HON,1962-04-03,6.85
AEP,1962-04-04,35.44
HON,1962-04-04,6.81
AEP,1962-04-05,35.69
HON,1962-04-05,6.94
AEP,1962-04-06,35.62
HON,1962-04-06,7.0
AEP,1962-04-09,35.31
HON,1962-04-09,6.89
AEP,1962-04-10,35.5
HON,1962-04-10,6.96
